state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,Bristol Bay Borough,vap_white,gov_18_dem_beg,0.38374792498835186,0.13495047821673942,0.14222890918836822,0.6511764382569173
AK,Bristol Bay Borough,vap_black,gov_18_rep_dun,0.49114427029503815,0.2743910220209696,0.02592748565717197,0.9719378908166502
AK,Bristol Bay Borough,vap_black,gov_18_dem_beg,0.5088557297049616,0.2743910220209696,0.02806210918334968,0.9740725143428278
AK,Bristol Bay Borough,vap_hisp,gov_18_rep_dun,0.500295724756712,0.213270640907658,0.10361311604547488,0.9004893745065695
AK,Bristol Bay Borough,vap_hisp,gov_18_dem_beg,0.4997042752432878,0.213270640907658,0.09951062549343044,0.8963868839545248
AK,Bristol Bay Borough,vap_oth,gov_18_rep_dun,0.35313924017841064,0.13607769666844272,0.11507177845192396,0.6319138116965817
AK,Bristol Bay Borough,vap_oth,gov_18_dem_beg,0.6468607598215893,0.13607769666844272,0.3680861883034184,0.8849282215480762
AK,Bristol Bay Borough,vap_white,pre_20_rep_tru,0.6645909345069178,0.12695431964704448,0.4110992058475178,0.8965047777572788
AK,Bristol Bay Borough,vap_white,pre_20_dem_bid,0.33540906549308214,0.12695431964704448,0.10349522224272106,0.5889007941524822
AK,Bristol Bay Borough,vap_black,pre_20_rep_tru,0.5099923248226704,0.2752377210896424,0.02857377080896315,0.978381794820125
AK,Bristol Bay Borough,vap_black,pre_20_dem_bid,0.49000767517732946,0.2752377210896424,0.02161820517987483,0.9714262291910366
AK,Bristol Bay Borough,vap_hisp,pre_20_rep_tru,0.5085334640303951,0.21387921288450917,0.10042256193331808,0.9001464555976815
